City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mount Isa,AU,-20.7333,139.5,67.77,37,4,11.5,clear sky
80,Pevek,RU,69.7008,170.3133,30.38,76,98,11.07,overcast clouds
81,Hermanus,ZA,-34.4187,19.2345,54.81,77,39,4.41,scattered clouds
82,Delijan,IR,33.9905,50.6838,67.5,25,44,3.2,scattered clouds
83,Zhigalovo,RU,54.8097,105.1578,46.26,51,20,7.02,few clouds
84,Ribeira Grande,PT,38.5167,-28.7,64.69,90,100,10.51,light rain
85,Ayr,GB,55.4627,-4.6339,48.51,87,40,5.75,scattered clouds
86,Sitka,US,57.0531,-135.33,62.38,48,70,5.23,broken clouds
87,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,41,0,8.95,clear sky
88,Bereda,ES,43.2686,-7.5406,55.58,96,48,4.7,scattered clouds
89,Bennington,US,42.8781,-73.1968,71.76,86,100,10.58,overcast clouds
90,Kutum,SD,14.2,24.6667,74.08,9,3,8.66,clear sky
91,Camacha,PT,33.0833,-16.3333,62.02,77,40,8.05,scattered clouds
92,Kondopoga,RU,62.2057,34.2614,44.28,88,91,3.4,overcast clouds
93,Rocha,UY,-34.4833,-54.3333,47.17,84,50,6.08,scattered clouds
94,Sungairaya,ID,0.7,108.9,79.16,78,100,4.23,overcast clouds
95,Mayumba,GA,-3.432,10.6554,72.25,93,5,4.36,clear sky
96,Pierre,US,44.3683,-100.351,85.86,34,66,20.0,broken clouds
97,Tahe,CN,52.3333,124.7333,54.82,79,89,6.24,light rain
98,Dharchula,IN,29.85,80.5333,65.34,71,24,4.54,few clouds
99,Wagga Wagga,AU,-35.1167,147.3667,55.81,100,100,8.05,overcast clouds
100,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,75,100,18.41,light snow
101,Koraput,IN,18.8167,82.7167,76.12,47,30,5.91,scattered clouds
102,Baixo Guandu,BR,-19.5189,-41.0158,67.68,96,100,2.51,overcast clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,0,9.22,clear sky
104,Clyde River,CA,70.4692,-68.5914,21.43,93,100,12.66,light snow
105,Saint-Philippe,RE,-21.3585,55.7679,67.59,83,13,8.66,light rain
106,Padang,ID,-0.9492,100.3543,73.45,83,93,1.12,overcast clouds
107,Bilibino,RU,68.0546,166.4372,38.16,92,100,0.36,overcast clouds
108,Carutapera,BR,-1.195,-46.02,74.66,94,43,4.79,scattered clouds
109,Balkhash,KZ,46.844,74.9804,70.27,50,81,7.67,light rain
110,Stromness,GB,58.965,-3.296,47.88,87,1,13.0,clear sky
111,Lubyany,RU,56.0378,51.4,48.88,94,98,10.54,overcast clouds
112,Juventino Rosas,MX,20.65,-101.0,83.68,18,7,19.17,clear sky
113,Nikolskoye,RU,59.7035,30.7861,49.71,97,80,2.28,broken clouds
