City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
669,Gao,ML,88.14,clear sky,16.6362,1.637,
677,Aripuana,BR,76.78,overcast clouds,-9.1667,-60.6333,
680,Vaitape,PF,80.64,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
681,Nanyang,CN,88.83,clear sky,32.9947,112.5328,Wolong Memory Hotel
684,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
685,Tutoia,BR,77.09,few clouds,-2.7619,-42.2744,Pousada Guará's
691,Champerico,GT,80.6,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
694,Grand Island,US,78.75,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
697,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
698,Poum,NC,76.14,broken clouds,-20.2333,164.0167,
703,Yingcheng,CN,84.74,scattered clouds,30.95,113.55,Yingcheng Hotel
704,Gorontalo,ID,86.5,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
705,Kerema,PG,80.73,broken clouds,-7.9631,145.7785,Frena Lodge
710,Tam Ky,VN,89.6,few clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
711,Jaciara,BR,78.3,overcast clouds,-15.9653,-54.9683,Taba Hotel
713,Siguiri,GN,76.89,broken clouds,11.6667,-9.5,
714,Tibagon,PH,80.55,overcast clouds,7.2327,125.8628,CM's Haven
720,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
721,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
724,Maragogi,BR,75.16,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
725,Pakxan,LA,86.14,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
731,Surigao,PH,79.32,very heavy rain,9.7839,125.4889,Surigao Tourist Inn
735,Akyab,MM,81.68,overcast clouds,20.15,92.9,Hotel Memory
737,Singaraja,ID,85.3,clear sky,-8.112,115.0882,Puri Bagus Lovina Resort
